idnum,ED_NAMEE,ED_NAMEF,POPULATION,Region,canada338,PollCloseEST,result
46003,Churchill--Keewatinook Aski,Churchill--Keewatinook Aski,87027,,NDP likely,9:30pm,
46004,Dauphin--Swan River--Neepawa,Dauphin--Swan River--Neepawa,87527,,CPC safe,9:30pm,
46005,Elmwood--Transcona,Elmwood--Transcona,92738,WPG,NDP likely,9:30pm,
46006,Kildonan--St. Paul,Kildonan--St. Paul,84077,WPG,Toss up LPC/CPC,9:30pm,
46007,Portage--Lisgar,Portage--Lisgar,97354,,CPC safe,9:30pm,
46008,Provencher,Provencher,99946,,CPC safe,9:30pm,
46009,Saint Boniface--Saint Vital,Saint-Boniface--Saint-Vital,89818,WPG,LPC safe,9:30pm,
46010,Selkirk--Interlake--Eastman,Selkirk--Interlake--Eastman,94778,,CPC safe,9:30pm,
46011,Winnipeg Centre,Winnipeg-Centre,85949,WPG,NDP likely,9:30pm,
46012,Winnipeg North,Winnipeg-Nord,95676,WPG,LPC safe,9:30pm,
46013,Winnipeg South,Winnipeg-Sud,99678,WPG,LPC safe,9:30pm,
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,93053,WPG,LPC safe,9:30pm,
47001,Battlefords--Lloydminster,Battlefords--Lloydminster,73506,,CPC safe,9:30pm,
47002,Cypress Hills--Grasslands,Cypress Hills--Grasslands,68353,,CPC safe,9:30pm,
47003,Desnethé--Missinippi--Churchill River,Desnethé--Missinippi--Rivière Churchill,70891,,Toss up LPC/CPC/NDP,9:30pm,
47004,Carlton Trail--Eagle Creek,Sentier Carlton--Eagle Creek,80662,,CPC safe,9:30pm,
47005,Moose Jaw--Lake Centre--Lanigan,Moose Jaw--Lake Centre--Lanigan,79733,,CPC safe,9:30pm,
47006,Prince Albert,Prince Albert,79625,,CPC safe,9:30pm,
47007,Regina--Lewvan,Regina--Lewvan,92426,REG,CPC likely,9:30pm,
47008,Regina--Qu'Appelle,Regina--Qu'Appelle,76017,,CPC safe,9:30pm,
47009,Regina--Wascana,Regina--Wascana,84153,REG,CPC leaning,9:30pm,
47010,Saskatoon--Grasswood,Saskatoon--Grasswood,82946,SK,CPC likely,9:30pm,
47011,Saskatoon--University,Saskatoon--University,82663,SK,CPC leaning,9:30pm,
47012,Saskatoon West,Saskatoon-Ouest,83711,SK,Toss up CPC/NDP,9:30pm,
47013,Souris--Moose Mountain,Souris--Moose Mountain,72635,,CPC safe,9:30pm,
47014,Yorkton--Melville,Yorkton--Melville,71031,,CPC safe,9:30pm,
48001,Banff--Airdrie,Banff--Airdrie,135762,,CPC safe,9:30pm,
48002,Battle River--Crowfoot,Battle River--Crowfoot,110223,,CPC safe,9:30pm,
48003,Bow River,Bow River,115022,,CPC safe,9:30pm,
48004,Calgary Centre,Calgary-Centre,119176,CGY,Toss up LPC/CPC,9:30pm,
48005,Calgary Confederation,Calgary Confederation,122023,CGY,CPC leaning,9:30pm,
48006,Calgary Forest Lawn,Calgary Forest Lawn,111830,CGY,CPC safe,9:30pm,
48007,Calgary Heritage,Calgary Heritage,112087,CGY,CPC safe,9:30pm,
48008,Calgary Midnapore,Calgary Midnapore,121844,CGY,CPC safe,9:30pm,
48009,Calgary Nose Hill,Calgary Nose Hill,115795,CGY,CPC safe,9:30pm,
48010,Calgary Rocky Ridge,Calgary Rocky Ridge,131823,CGY,CPC safe,9:30pm,
48011,Calgary Shepard,Calgary Shepard,147520,CGY,CPC safe,9:30pm,
48012,Calgary Signal Hill,Calgary Signal Hill,121392,CGY,CPC safe,9:30pm,
48013,Calgary Skyview,Calgary Skyview,135730,CGY,Toss up LPC/CPC,9:30pm,
48014,Edmonton Centre,Edmonton-Centre,109941,EDM,Toss up LPC/CPC,9:30pm,
48015,Edmonton Griesbach,Edmonton Griesbach,112287,EDM,CPC likely,9:30pm,
48016,Edmonton Manning,Edmonton Manning,121048,EDM,CPC safe,9:30pm,
48017,Edmonton Mill Woods,Edmonton Mill Woods,118561,EDM,Toss up LPC/CPC,9:30pm,
48018,Edmonton Riverbend,Edmonton Riverbend,120863,EDM,CPC likely,9:30pm,
48019,Edmonton Strathcona,Edmonton Strathcona,106066,EDM,NDP likely,9:30pm,
48020,Edmonton West,Edmonton-Ouest,121869,EDM,CPC safe,9:30pm,
48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,158749,,CPC safe,9:30pm,
48022,Foothills,Foothills,113227,,CPC safe,9:30pm,
48023,Fort McMurray--Cold Lake,Fort McMurray--Cold Lake,110230,,CPC safe,9:30pm,
48024,Grande Prairie--Mackenzie,Grande Prairie--Mackenzie,117327,,CPC safe,9:30pm,
48025,Lakeland,Lakeland,108451,,CPC safe,9:30pm,
48026,Lethbridge,Lethbridge,117394,,CPC safe,9:30pm,
48027,Medicine Hat--Cardston--Warner,Medicine Hat--Cardston--Warner,106896,,CPC safe,9:30pm,
48028,Peace River--Westlock,Peace River--Westlock,109965,,CPC safe,9:30pm,
48029,Red Deer--Mountain View,Red Deer--Mountain View,119019,,CPC safe,9:30pm,
48030,Red Deer--Lacombe,Red Deer--Lacombe,128786,,CPC safe,9:30pm,
48031,St. Albert--Edmonton,St. Albert--Edmonton,121313,EDM,CPC safe,9:30pm,
48032,Sherwood Park--Fort Saskatchewan,Sherwood Park--Fort Saskatchewan,122193,,CPC safe,9:30pm,
48033,Sturgeon River--Parkland,Sturgeon River--Parkland,120784,,CPC safe,9:30pm,
48034,Yellowhead,Yellowhead,101979,,CPC safe,9:30pm,
59001,Abbotsford,Abbotsford,101814,VAN,CPC likely,10:00pm,
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,102486,VAN,LPC likely,10:00pm,
59003,Burnaby South,Burnaby-Sud,111973,VAN,NDP likely,10:00pm,
59004,Cariboo--Prince George,Cariboo--Prince George,108907,,CPC likely,10:00pm,
59005,Central Okanagan--Similkameen--Nicola,Central Okanagan--Similkameen--Nicola,110293,,Toss up LPC/CPC,10:00pm,
